DATE,AXIOMA_ID,NAME,PRICE,CURRENCY,TSO,RETURN,COUNTRY
2023-09-28,SP6S8NVS5,NIO INC,1832.0,ARS,6081807360.0,0.094384707,AR
2023-09-28,JN4US2196,GEELY AUTOMOBILE H,1.1144,EUR,10063000000.0,0.004507122,AT
2023-09-28,CBT1V11P8,MGC PHARMACEUTICALS LTD,0.002,AUD,4427968187.0,1.00000022,AU
2023-09-28,HYZXUX1U6,MEDIBIO LTD,0.0015,AUD,6100743763.0,0.50000019,AU
2023-09-28,N66RMM7T5,FIRST LITHIUM LIMITED,0.265,AUD,99071667.0,0.472222167,AU
2023-09-28,3MTF8XGR9,NXP SEMICONDUCTORS,508.0,BRL,257802134.0,0.052522728,BR
2023-09-28,TFG7MZKS0,ALLKEM LIMITED,10.19,CAD,639321000.0,0.070378095,CA
2023-09-28,88M64T3G3,PERSEUS MINING LTD,1.41,CAD,1373026000.0,0.029197082000000003,CA
2023-09-28,RG7QQ3479,CHAMPION IRON LTD,5.33,CAD,517296000.0,0.026975031,CA
2023-09-28,XFRKJKP64,GUANGDONG GREEN PR,10.79,CNY,413380000.0,0.20022249600000003,CN
2023-09-28,Q5HRRKYN4,SHENZHEN LIANDE AU,29.38,CNY,177744815.0,0.20016379899999998,CN
2023-09-28,PQHBNU7F3,HENGBO HOLDINGS CO,40.57,CNY,103380000.0,0.19994115399999998,CN
2023-09-28,SUGDTUUG4,POU SHENG INTL LTD,0.09,EUR,5326179615.0,0.168830497,DE
2023-09-28,X29LSJ6T5,PILBARA MINERALS L,2.6,EUR,3007295489.0,0.062091667,DE
2023-09-28,7SJZ1FR44,NIO INC,8.515,EUR,1570605680.0,0.055796754000000004,DE
2023-09-28,QUUTVD479,UIE PLC,175.5,DKK,32227690.0,0.020348836999999998,DK
2023-09-28,BUDFKW6Q0,WORLDSEC LD,0.0125,GBP,85101870.0,0.6666654670000001,GB
2023-09-28,1DLJWKU39,ASA INTL GROUP,0.52,GBP,100000000.0,0.171170992,GB
2023-09-28,AKKR6H2T6,TLOU ENERGY,0.0148,GBP,1024583025.0,0.057142798,GB
2023-09-28,1CCSH6QC4,DTXS SILK ROAD INV,0.99,HKD,667525230.0,0.867924618,HK
2023-09-28,6MT8QMKK6,CHINA PROPERTIES I,0.156,HKD,267166606.0,0.591837101,HK
2023-09-28,DD4AZLL88,PACIFIC LEGEND GRO,0.34,HKD,190080000.0,0.545454244,HK
2023-09-28,B4QY2MWY9,NOVA LTD,421.2,ILS,28805085.0,0.00047496400000000003,IL
2023-09-28,D91H6FNC9,INFORMED TECHNOLOG,92.53,INR,4169100.0,0.583875385,IN
2023-09-28,2WAMHLF41,LAKSHMI AUTOMATIC,2068.7,INR,668750.0,0.451974031,IN
2023-09-28,D2786UDR3,MOHIT INDUSTRIES,20.9,INR,14157575.0,0.421768707,IN
2023-09-28,MJGDAXM29,E-LOGIT CO LTD,513.0,JPY,3509400.0,0.18475750600000002,JP
2023-09-28,XKX2MGWF3,SYSTEM INFORMATION,894.0,JPY,23672000.0,0.171690695,JP
2023-09-28,THQLZ99J1,MURAKI CORP,3490.0,JPY,1470000.0,0.167055685,JP
2023-09-28,J1M1ZFGK0,FINOLEX CABLES,14.5,USD,152939345.0,0.082089552,LU
