DATE,AXIOMA_ID,NAME,PRICE,CURRENCY,TSO,RETURN,COUNTRY
2023-10-04,SP6S8NVS5,NIO INC,2079.0,ARS,6081807360.0,0.107028754,AR
2023-10-04,JN4US2196,GEELY AUTOMOBILE H,1.0884,EUR,10063000000.0,-0.00657201,AT
2023-10-04,93SLSNMX3,LAKES BLUE ENERGY NL,0.001,AUD,59560000000.0,0.0,AU
2023-10-04,BV2CMWDL8,AMANI GOLD LTD,0.001,AUD,25143000000.0,0.0,AU
2023-10-04,FG3NNBCJ3,ENERGY RES OF AUST,0.033,AUD,22148000000.0,-0.02941182,AU
2023-10-04,X1HTW3JY6,88 ENERGY LIMITED,0.006,AUD,22119000000.0,-0.14285691,AU
2023-10-04,2S44X24B7,A1 INVEST & RESOUR,0.001,AUD,20527000000.0,0.0,AU
2023-10-04,R8PRCJUT8,ROBI AXIATA LTD,30.0,BDT,5237932895.0,0.0,BD
2023-10-04,S6VYA2Q30,NATIONAL BANK LTD,8.3,BDT,3219739570.0,0.0,BD
2023-10-04,QDKRN6DJ0,IFIC BANK PLC,11.2,BDT,1830558713.0,0.0,BD
2023-10-04,ZD35DH1C2,ISLAMI BANK BANGLA,32.6,BDT,1609990668.0,0.0,BD
2023-10-04,8TC4FRJB9,BRAC BANK LTD,35.8,BDT,1608829227.0,0.0,BD
2023-10-04,287C3CJD1,NETEASE INC,50.85,BRL,6459801050.0,0.000590299,BR
2023-10-04,3WQUHFV73,NOMURA HOLDINGS,20.4,BRL,3163562601.0,0.0,BR
2023-10-04,VTTH4JQ44,ALIBABA GROUP HLDG,15.51,BRL,2705636601.0,-0.00704219,BR
2023-10-04,3MTF8XGR9,NXP SEMICONDUCTORS,508.0,BRL,257802134.0,0.0,BR
2023-10-04,88M64T3G3,PERSEUS MINING LTD,1.35,CAD,1373026000.0,-0.00735243,CA
2023-10-04,TBYG532Z3,ST AUGUSTINE GOLD & COPPER L,0.07,CAD,1011405000.0,0.0,CA
2023-10-04,F7QVNJ8M1,NEWCREST MNG LTD,20.84,CAD,894231000.0,0.007249588,CA
2023-10-04,AQLR357J8,OCEANAGOLD CORP,2.49,CAD,707376000.0,-0.01190504,CA
2023-10-04,TFG7MZKS0,ALLKEM LIMITED,9.7,CAD,639321000.0,0.028631971000000003,CA
2023-10-04,YRLTRC9C8,NATL AUSTRALIA BK,13.3235,CHF,3128948927.0,0.0,CH
2023-10-04,YBLKPPY11,ZHEJIANG HUAYOU CO,11.2,USD,1710084965.0,0.0,CH
2023-10-04,A8C6LZ9T4,YANGZHOU YANGJIE E,15.0,USD,270725893.0,0.0,CH
2023-10-04,JV2QPRN69,JIANGSU EASTERN SH,18.8,USD,43492688.0,0.0,CH
2023-10-04,XWU1Z3237,SUNWODA ELECTRONIC,16.6,USD,34372533.0,0.0,CH
2023-10-04,JQHAZP2F5,CHINA PETROLEUM &,0.5,EUR,24748000000.0,0.0,DE
2023-10-04,QCHNG4T77,PETROCHINA CO,0.6729999999999999,EUR,21099000000.0,0.0,DE
2023-10-04,7HMKSXBN4,XIAOMI CORPORATION,1.4006,EUR,20450000000.0,0.0,DE
2023-10-04,LBKKDKGN2,DELTA ELECTRONICS,2.18,EUR,12474000000.0,0.0,DE
2023-10-04,JZDR86FW3,GEELY AUTOMOBILE H,1.0844,EUR,10063000000.0,-0.00859335,DE
2023-10-04,QUUTVD479,UIE PLC,176.5,DKK,32227690.0,-0.0056338000000000004,DK
2023-10-04,97QG72275,BERKELEY ENERGIA,0.2065,EUR,445796715.0,-0.01666667,ES
2023-10-04,3DQZK2C96,GUANDAO PUER INV,0.45399999999999996,EUR,40000000.0,0.0,FR
2023-10-04,82Q5CMYD3,88 ENERGY LIMITED,0.0034,GBP,22119000000.0,-0.02571429,GB
2023-10-04,6982S5630,SYNERGIA ENERGY LT,0.0012,GBP,9122336158.0,0.021276594,GB
2023-10-04,NFF4VBA17,MOSMAN OIL & GAS L,0.0002,GBP,7811047141.0,-0.02272732,GB
2023-10-04,VQJ3HZHF7,HON HAI PRECISION,6.29,USD,6931495305.0,0.003189713,GB
2023-10-04,93GUVFNF7,BHP GROUP LTD,22.615,GBP,5068739787.0,-0.00789616,GB
2023-10-04,Y14SRCAX8,CHINA CONST BK,4.26,HKD,240420000000.0,0.004717099000000001,HK
2023-10-04,8TLYZLCZ8,CHINA TOWER CORP L,0.73,HKD,176010000000.0,-0.0135135,HK
2023-10-04,NJBPZ78Y2,IND & COM BK CHINA,3.61,HKD,86794000000.0,0.005570891,HK
2023-10-04,LUPTVPFP1,IND & COM BK CHINA,3.61,HKD,86794000000.0,0.005570891,HK
