DATE,AXIOMA_ID,NAME,PRICE,CURRENCY,TSO,RETURN,COUNTRY
2023-09-28,KFAL1CT34,MEEKA METALS LTD,0.046,AUD,1102208932.0,-2.1739999999999998e-08,AU
2023-09-28,7GU3S1MU7,TEMPUS RESOURCES,0.026000000000000002,AUD,311838242.0,-3.846e-08,AU
2023-09-28,N1L3X1JL0,AUSTRALIAN POTASH,0.004,AUD,1038689490.0,-1.75e-07,AU
2023-09-28,287C3CJD1,NETEASE INC,49.69,BRL,6459801050.0,-0.00420824,BR
2023-09-28,VTTH4JQ44,ALIBABA GROUP HLDG,15.35,BRL,2705636601.0,-0.00839787,BR
2023-09-28,3WQUHFV73,NOMURA HOLDINGS,20.78,BRL,3163562601.0,-0.00892968,BR
2023-09-28,JKNAYQKT0,CHINA GOLD INTL RES CORP LTD,5.83,CAD,396414000.0,-0.01018682,CA
2023-09-28,F7QVNJ8M1,NEWCREST MNG LTD,21.34,CAD,894231000.0,-0.01020413,CA
2023-09-28,BX4TX2HU5,MACARTHUR MINERALS LTD,0.14,CAD,166053000.0,-0.06666661,CA
2023-09-28,R2NDJT9H5,SHENYANG MACHINE T,7.13,CNY,2064746603.0,-2.8050000000000003e-08,CN
2023-09-28,S2D72GF38,LOONGSON TECHNOLOG,86.88,CNY,401000000.0,-0.00011503,CN
2023-09-28,N96L7XFQ2,LOONGSON TECHNOLOG,86.88,CNY,401000000.0,-0.00011503,CN
2023-09-28,HVR3A4W13,FANUC CORP,24.4,EUR,1003073989.0,-0.00052194,DE
2023-09-28,7P54KJ580,TAKEDA PHARMACEUTI,29.19,EUR,1582346225.0,-0.00415689,DE
2023-09-28,XMNG19SS5,BAIDU INC,124.6,EUR,277515360.0,-0.00479225,DE
2023-09-28,97QG72275,BERKELEY ENERGIA,0.2175,EUR,445796715.0,-0.00457666,ES
2023-09-28,Z5Y6AXSV0,SAMSUNG ELECTRONIC,994.0,USD,32915468.0,-0.00100503,GB
2023-09-28,CZM3DRZS8,M.P. EVANS GROUP,7.38,GBP,53576298.0,-0.00270238,GB
2023-09-28,DQZN1ZNK4,STATE BK OF INDIA,71.2,USD,892461193.0,-0.00280108,GB
2023-09-28,VXZCZRYS5,CHINA REG MED INTL,0.98,HKD,285428950.0,-1.133e-16,HK
2023-09-28,P11WAHQW4,ASIA TELE-NET,0.96,HKD,393953400.0,-5.155e-08,HK
2023-09-28,DRSK6VAV0,KUAISHOU TECHNOLOG,62.05,HKD,3591540672.0,-0.0008052,HK
2023-09-28,CD7644V94,RISA INTL LTD,0.62,INR,159500250.0,-1.6130000000000003e-08,IN
2023-09-28,9LHK217F9,JOHNSON PHARMACARE,0.56,INR,550000000.0,-1.786e-08,IN
2023-09-28,H27MJKK23,CINDRELLA FINANCIA,9.8,INR,4160000.0,-2.041e-08,IN
2023-09-28,XSJB8RDF5,TOKYO GAS CO,3371.0,JPY,434875059.0,-0.00014689,JP
2023-09-28,8F9DXZD39,MUSASHINO BANK,2885.0,JPY,33805456.0,-0.00034060000000000004,JP
2023-09-28,3YYNYPJG9,KYORITSU ELECTRIC,2868.0,JPY,4369200.0,-0.00034855,JP
2023-09-28,PF71ASJZ2,CHINA STEEL CORP,15.7,USD,786743050.0,-0.00632918,LU
2023-09-28,F8DWNAKV6,BHARAT FORGE,13.0,USD,465501022.0,-0.00763366,LU
2023-09-28,SUM5J1AR7,COMPAL ELECTRONIC,4.76,USD,881429325.0,-0.00833331,LU
2023-09-28,C1XPFAH24,WYNN RESORTS LTD,1615.0,MXN,113936334.0,-0.00615385,MX
2023-09-28,GCLLVGV88,HAFNIA LIMITED,67.0,NOK,506820170.0,-0.02828132,NO
2023-09-28,FGMDW75M4,MAINFREIGHT LTD,62.8,NZD,100698548.0,-0.00158967,NZ
2023-09-28,67F6ZKZ34,HALLENSTEIN GLASSN,5.74,NZD,59649061.0,-0.00173917,NZ
2023-09-28,UR6QN8S78,VECTOR LTD,3.9,NZD,1000000000.0,-0.0025576,NZ
2023-09-28,WUPQ49RL7,TKC METALS CORP,0.56,PHP,940000000.0,-1.786e-08,PH
2023-09-28,AKKLX22B1,NATIONAL REINSURAN,0.4,PHP,2123605600.0,-5e-08,PH
2023-09-28,B7KWQBN46,IPEOPLE INC,7.39,PHP,1044263197.0,-5.4129999999999996e-08,PH
2023-09-28,JH9CAWG18,THAL LIMITED,226.08,PKR,81029917.0,-4.423e-08,PK
2023-09-28,4DFDSSCX8,PACE PAKISTAN LTD,1.85,PKR,278876604.0,-2.1620000000000002e-07,PK
2023-09-28,7BSBVNTB6,WORLDCALL TELECOM,1.14,PKR,3196199269.0,-3.5090000000000005e-07,PK
2023-09-28,XQ4D4A744,OUE HEALTHCARE LTD,0.027999999999999997,SGD,4443129206.0,-3.571e-08,SG
