DATE,AXIOMA_ID,NAME,PRICE,CURRENCY,TSO,RETURN,COUNTRY
2023-10-04,JN4US2196,GEELY AUTOMOBILE H,1.0884,EUR,10063000000.0,-0.00657201,AT
2023-10-04,92V89SHW8,DIMERIX LTD,0.061,AUD,395149518.0,-1.639e-08,AU
2023-10-04,TDJVYDFC6,BUXTON RESOURCES,0.21,AUD,171278568.0,-9.524e-08,AU
2023-10-04,ZJJAMV734,CSL LTD,248.7,AUD,483064837.0,-4.025e-05,AU
2023-10-04,AMZ9UJ9V3,UNION CAPITAL LIMI,7.3,BDT,172573843.0,-2.74e-08,BD
2023-10-04,CT71CH575,SAFKO SPINNING MIL,19.4,BDT,29981716.0,-3.093e-07,BD
2023-10-04,N5HZ5PXH6,SAIHAM COTTON MILL,16.4,BDT,148775000.0,-3.659e-07,BD
2023-10-04,VTTH4JQ44,ALIBABA GROUP HLDG,15.51,BRL,2705636601.0,-0.00704219,BR
2023-10-04,JKNAYQKT0,CHINA GOLD INTL RES CORP LTD,5.64,CAD,396414000.0,-0.00529095,CA
2023-10-04,88M64T3G3,PERSEUS MINING LTD,1.35,CAD,1373026000.0,-0.00735243,CA
2023-10-04,AQLR357J8,OCEANAGOLD CORP,2.49,CAD,707376000.0,-0.01190504,CA
2023-10-04,K9B5GPUC5,HENGAN INTL,2.898,EUR,1162120917.0,-0.0013786,DE
2023-10-04,4MT45QGM2,TREASURY WINE ESTA,6.95,EUR,721848176.0,-0.00714287,DE
2023-10-04,JZDR86FW3,GEELY AUTOMOBILE H,1.0844,EUR,10063000000.0,-0.00859335,DE
2023-10-04,QUUTVD479,UIE PLC,176.5,DKK,32227690.0,-0.0056338000000000004,DK
2023-10-04,97QG72275,BERKELEY ENERGIA,0.2065,EUR,445796715.0,-0.01666667,ES
2023-10-04,5TZ2NFL58,LITIGATION CAPITAL,0.985,GBP,119200332.0,-0.00303632,GB
2023-10-04,5JHT89A70,WEISS KOREA OPPORT,1.605,GBP,69265582.0,-0.00310559,GB
2023-10-04,A1SCKMVT4,VINACAPITAL VIETNA,4.275,GBP,158600070.0,-0.00349651,GB
2023-10-04,73VGN8WJ0,FULUM GRP HLDGS LT,0.217,HKD,1300000000.0,-9.091000000000001e-08,HK
2023-10-04,UKJ31RF68,SHANGHAI PIONEER H,2.116,HKD,1257447000.0,-9.346e-08,HK
2023-10-04,BX1C2P4N8,HSBC HOLDINGS PLC,60.85,HKD,19555000000.0,-0.0008208,HK
2023-10-04,F23KPD297,DCI INDONESIA TBK,34675.0,IDR,2383745900.0,-0.00072046,ID
2023-10-04,4QYPX5AA7,SMART TBK,4380.0,IDR,2872193366.0,-0.0022779,ID
2023-10-04,P437MX3L2,JASA MARGA,4090.0,IDR,7257871200.0,-0.00243902,ID
2023-10-04,B4QY2MWY9,NOVA LTD,410.0,ILS,28805085.0,-0.03027448,IL
2023-10-04,6BGYQ7T70,LOOKS HEALTH SERVI,5.46,INR,10500000.0,-1.8319999999999998e-08,IN
2023-10-04,KK3RD5QB5,SHALIMAR PRODUCTIO,0.49,INR,984328313.0,-2.041e-08,IN
2023-10-04,UTJKCYQN5,THIRANI PROJECTS,3.46,INR,20212875.0,-2.89e-08,IN
2023-10-04,3FX1ZPFD9,COMO CO LTD,2752.0,JPY,3630000.0,-0.00036324,JP
2023-10-04,XPCCZ7NG7,MEDIKIT CO LTD,2718.0,JPY,18880000.0,-0.00036778,JP
2023-10-04,13RZVSBW0,WATANABE SATO CO,2602.0,JPY,3195700.0,-0.00038417,JP
2023-10-04,SYD5T37W7,MFM KOREA CO LTD,1849.0,KRW,32865313.0,-0.00054054,KR
2023-10-04,WWX1C2BL2,SAMYANG PACKAGING,15800.0,KRW,15788671.0,-0.00063251,KR
2023-10-04,Z9MMAG9Z9,E-CREDIBLE CO LTD,14200.0,KRW,12043600.0,-0.00070373,KR
2023-10-04,22TNYH5D6,CEYLON GUARDIAN,97.3,LKR,82517874.0,-0.00102669,LK
2023-10-04,9FMWJ5N32,CM HOLDINGS PLC,83.0,LKR,15200000.0,-0.00120337,LK
2023-10-04,8M1BV7YQ6,CHEMANEX PLC,82.0,LKR,15707312.0,-0.00121803,LK
2023-10-04,4S5UNWAX6,RELIANCE INDS,55.6,USD,3382839807.0,-0.00358418,LU
2023-10-04,13HWMBFX9,REALTEK SEMICOND,49.8,USD,128215910.0,-0.00399992,LU
2023-10-04,KF745ZDW4,HYUNDAI MOTOR CO,38.8,USD,72241194.0,-0.005128100000000001,LU
2023-10-04,C1XPFAH24,WYNN RESORTS LTD,1592.75,MXN,113936334.0,-0.02105101,MX
2023-10-04,JHDZQXYT2,TENAGA NASIONL BHD,9.96,MYR,5787331871.0,-0.00100303,MY
2023-10-04,BDCFSUDC8,HONG LEONG INDS,8.85,MYR,327903710.0,-0.00112859,MY
2023-10-04,5AGKWBAY8,BURSA MALAYSIA BHD,6.79,MYR,809299121.0,-0.00147062,MY
2023-10-04,GCLLVGV88,HAFNIA LIMITED,63.0,NOK,506820170.0,-0.04400598,NO
2023-10-04,J2VLN3TY0,COLONIAL MOTOR CO,8.99,NZD,32694632.0,-0.00332602,NZ
2023-10-04,67F6ZKZ34,HALLENSTEIN GLASSN,5.85,NZD,59649061.0,-0.00340707,NZ
2023-10-04,CWBFL8UA7,GENTRACK GROUP LTD,5.03,NZD,101798161.0,-0.00396048,NZ
2023-10-04,VR12686Q6,ROXAS HLDGS,0.62,PHP,1547935799.0,-1.6130000000000003e-08,PH
2023-10-04,U2HKS5UW7,LODESTAR INVESTMEN,0.49,PHP,3000000000.0,-2.041e-08,PH
2023-10-04,NRDLNBAK2,CENTURY PEAK HOLDI,3.2,PHP,2820330450.0,-3.125e-08,PH
2023-10-04,4BVYG3431,PAKISTAN ALUMINIUM,50.77,PKR,361108254.0,-0.00019681,PK
2023-10-04,5XHNHML55,INTERNATIONAL STEE,42.48,PKR,435000000.0,-0.00023558,PK
2023-10-04,D3DTQ7JR1,ATTOCK PETROLEUM L,295.0,PKR,124416000.0,-0.00027138,PK
2023-10-04,9YTPH16A3,POWERMATIC DATA,2.91,SGD,35802796.0,-0.00342473,SG
2023-10-04,2HZZA2JH4,SBS TRANSIT,2.62,SGD,311965641.0,-0.0038024,SG
2023-10-04,DTCTF3RP1,NEW TOYO INTERNATL,0.215,SGD,439424603.0,-0.00444467,SG
2023-10-04,CYF71UXR0,THAI PRESIDENT FOO,195.5,THB,329704014.0,-0.00126263,TH
2023-10-04,D8BM9CB77,THAI PRESIDENT FOO,195.5,THB,329704014.0,-0.00126263,TH
2023-10-04,2A9YG8MR6,GOODYEAR(THAILAND),196.5,THB,7400000.0,-0.00253807,TH
2023-10-04,JDHLPSZY8,HUI MIN ENVIRONMEN,49.2,TWD,35168000.0,-0.00101529,TW
2023-10-04,5DSFX2M91,"ZIG SHENG INDUSTRIAL CO., LTD.",9.7,TWD,531688000.0,-0.00102987,TW
2023-10-04,X1PCAX6D2,"MICROBIO CO., LTD.",48.0,TWD,560162000.0,-0.00104058,TW
2023-10-04,Z8QPF66Z0,NOVA VISION ACQUISITION CORP,11.3,USD,3318000.0,-7.162e-08,US
2023-10-04,17PYRAT19,FUJIFILM HLDGS CORP ADR,56.24,USD,414626000.0,-0.00017767,US
2023-10-04,QL5CZ7GC9,MINERAL RES LTD ADR,40.0,USD,195186000.0,-0.00024981,US
2023-10-04,8WLPBGLF1,VINACAFE BIEN HOA,189900.0,VND,26579135.0,-0.00052632,VN
2023-10-04,4HS6P8QK0,DHG PHARMACEUTICAL,116600.0,VND,130746071.0,-0.0008569,VN
2023-10-04,1BLAG9ZK2,NOIBAI CARGO TERMI,87900.0,VND,26165732.0,-0.00113636,VN
